表格名称: 基本計劃 - 說明摘要
================================================================================

保單年度終結	已繳保費總額	退保發還金額_保證金額_現金價值	退保發還金額_非保證金額_保額增值紅利之現金價值	退保發還金額_非保證金額_終期紅利之現金價值	退保發還金額_總額	身故保險賠償_保證金額_身故保險賠償	身故保險賠償_非保證金額_保額增值紅利之面值	身故保險賠償_非保證金額_終期紅利之面值	身故保險賠償_總額
--------------------------------------------------------------------------------
1	50000	0	0	0	0	50000	0	0	50000
2	100000	0	0	0	0	100000	0	0	100000
3	150000	2250	8000	5160	15410	150000	8000	5160	163160
4	200000	5000	16000	7714	28714	260000	16000	7714	283714
5	250000	11250	24000	147960	183210	325000	24000	147960	496960
10	250000	60500	64000	205670	330170	325000	64000	205670	594670
15	250000	103750	84000	285570	473320	325000	84000	285570	694570
20	250000	162000	104000	427986	693986	325000	104000	427986	856986
25	250000	252500	124000	597278	973778	325000	124000	597278	1046278
30	250000	255000	144000	1063800	1462800	325000	144000	1063800	1532800
65	250000	278000	232000	5334776	5844776	278000	232000	5334776	5844776
70	250000	281750	252000	7473776	8007526	281750	252000	7473776	8007526
75	250000	285500	272000	10412334	10969834	285500	272000	10412334	10969834
80	250000	289250	292000	14447552	15028802	289250	292000	14447552	15028802
85	250000	293000	312000	19984158	20589158	293000	312000	19984158	20589158
90	250000	296750	332000	27578070	28206820	296750	332000	27578070	28206820
95	250000	300500	352000	37990414	38642914	300500	352000	37990414	38642914
100	250000	304250	372000	52263550	52939800	304250	372000	52263550	52939800
105	250000	308000	392000	71826960	72526960	308000	392000	71826960	72526960
110	250000	311750	412000	98636676	99360426	311750	412000	98636676	99360426
115	250000	315250	432000	135374272	136121522	315250	432000	135374272	136121522
120	250000	319000	452000	185712696	186483696	319000	452000	185712696	186483696
125	250000	322750	472000	254683334	255478084	322750	472000	254683334	255478084
130	250000	326500	492000	349180748	349999248	326500	492000	349180748	349999248
135	250000	330250	512000	478648776	479491026	330250	512000	478648776	479491026
138	250000	332750	524000	578316546	579173296	332750	524000	578316546	579173296

总行数: 26
