表格名称: 基本計劃－退保發還金額－不同投資回報下的說明
================================================================================

保單年度終結	已繳保費總額	保證金額(現金價值)	悲觀情景_保額增值紅利之現金價值	悲觀情景_終期紅利之現金價值	悲觀情景_總額	樂觀情景_保額增值紅利之現金價值	樂觀情景_終期紅利之現金價值	樂觀情景_總額
--------------------------------------------------------------------------------
1	50000	0	0	0	0	0	0	0
2	100000	0	0	0	0	0	0	0
3	150000	2250	4750	4840	11840	9500	9861	21611
4	200000	5000	9500	7526	22026	19000	19368	43368
5	250000	11250	14250	41752	67252	28500	152061	191811
10	250000	60500	38000	112896	211396	76000	239936	376436
15	250000	103750	49875	140641	294266	99750	365489	568989
20	250000	162000	61750	214796	438546	123500	494141	779641
25	250000	252500	73625	218771	544896	147250	668175	1067925
30	250000	255000	85500	355295	695795	171000	1037344	1463344
65	250000	278000	137750	1310207	1725957	275500	5295989	5849489
70	250000	281750	149625	1718388	2149763	299250	7433550	8014550
75	250000	285500	161500	2243498	2690498	323000	10371873	10980373
80	250000	289250	173375	2920864	3383489	346750	14408529	15044529
85	250000	293000	185250	3796686	4274936	370500	19949075	20612575
90	250000	296750	197125	4933577	5427452	394250	27550063	28241063
95	250000	300500	209000	6414525	6924025	418000	37973796	38692296
100	250000	304250	220875	8350026	8875151	441750	52265863	53011863
105	250000	308000	232750	10889875	11430625	465500	71857665	72631165
110	250000	311750	244625	14235802	14792177	489250	98709835	99510835
115	250000	315250	256500	18296806	18868556	513000	135511089	136339339
120	250000	319000	268375	22832864	23420239	536750	185940495	186796245
125	250000	322750	280250	28466471	29069471	560500	255044088	255927338
130	250000	326500	292125	35463107	36081732	584250	349731782	350642532
135	250000	330250	304000	44151030	44785280	608000	479472708	480410958
138	250000	332750	311125	50341891	50985766	622250	579357173	580312173

总行数: 26
