表格名称: 最高貸款額、可提取非保證紅利及最高保單價值鎖定金額之補充說明摘要
================================================================================

保單年度終結	最高貸款額	可提取非保證紅利之現金價值	最高保單價值鎖定金額
--------------------------------------------------------------------------------
1	0	0	0
5	31725	36960	91605
10	112050	105920	165085
15	168975	155820	236660
20	239400	229736	346993
25	338850	322028	486889
30	359100	532800	731400
65	459000	2799776	2922388
70	480375	4003776	4003763
75	501750	5697584	5484917
80	523125	8075552	7514401
85	544500	11406408	10294579
90	565875	16063820	14103410
95	587250	22565664	19321457
100	608625	31629300	26469900
105	630000	44248960	36263480
110	651375	61799176	49680213
115	672525	86182272	68060761
120	693900	120027696	93241848
125	715275	166968584	127739042
130	736650	232024248	174999624
135	758025	322123776	239745513

总行数: 22
