表格名称: 基本计划 - 说明摘要
================================================================================

保单年度终结	已缴总保费	现金价值总额_保证金额	现金价值总额_非保证金额_累积周年红利及累积利息	现金价值总额_非保证金额_终期红利	现金价值总额_总额	身故赔偿总额_保证金额	身故赔偿总额_非保证金额_累积周年红利及累积利息	身故赔偿总额_非保证金额_终期红利	身故赔偿总额_总额
--------------------------------------------------------------------------------
1	10000	0	0	0	0	10000	0	0	10000
2	20000	0	0	0	0	20760	0	0	20760
3	30000	20300	5	0	20305	32280	5	0	32285
4	40000	30100	10	0	30110	44560	10	0	44570
5	50000	40100	16	675	40791	57600	16	0	57616
6	50000	42350	21	7806	50177	59500	21	0	59521
7	50000	44350	27	12130	56507	61400	27	0	61427
8	50000	46900	33	13559	60492	63300	33	0	63333
9	50000	48350	40	17274	65664	65200	40	424	65664
10	50000	49100	46	19622	68768	67100	46	1622	68768
15	50000	52100	98	35089	87287	69000	98	18189	87287
20	50000	55100	162	58238	113500	69000	162	44338	113500
25	50000	57593	253	89509	147355	69000	253	78102	147355
30	50000	60085	366	130163	190614	69000	366	121248	190614
55	50000	72548	1576	697607	771731	72548	1576	697607	771731
60	50000	75040	2008	969354	1046402	75040	2008	969354	1046402
65	50000	77533	2541	1315424	1395498	77533	2541	1315424	1395498
70	50000	80025	3197	1823856	1907078	80025	3197	1823856	1907078
75	50000	82518	4005	2484219	2570742	82518	4005	2484219	2570742
80	50000	85010	4999	3383591	3473600	85010	4999	3383591	3473600
85	50000	87503	6224	4598755	4692482	87503	6224	4598755	4692482
90	50000	89995	7731	6292338	6390064	89995	7731	6292338	6390064
95	50000	92488	9588	8622103	8724179	92488	9588	8622103	8724179
100	50000	94980	11874	12327439	12434293	94980	11874	12327439	12434293

总行数: 24
