表格名称: 基本计划－现金价值总额－不同投资回报下的说明摘要
================================================================================

保单年度终结	已缴总保费	保证金额	悲观情景_累积周年红利及累积利息	悲观情景_终期红利	悲观情景_总额	乐观情景_累积周年红利及累积利息	乐观情景_终期红利	乐观情景_总额
--------------------------------------------------------------------------------
1	10000	0	0	0	0	0	0	0
2	20000	0	0	0	0	0	0	0
3	30000	20300	3	0	20303	8	0	20308
4	40000	30100	6	0	30106	15	0	30115
5	50000	40100	9	391	40500	24	1012	41136
6	50000	42350	13	4528	46891	32	11709	54091
7	50000	44350	16	7035	51401	42	18195	62587
8	50000	46900	20	7864	54784	51	20339	67290
9	50000	48350	23	10019	58392	61	25911	74322
10	50000	49100	27	11381	60508	72	29433	78605
15	50000	52100	56	20352	72508	156	52633	104889
20	50000	55100	90	33778	88968	263	87357	142720
25	50000	57593	139	51915	109647	420	134264	192277
30	50000	60085	197	75495	135777	620	195245	255950
55	50000	72548	745	404612	477905	3051	1046410	1122009
60	50000	75040	922	562226	638188	4013	1454031	1533084
65	50000	77533	1131	762946	841610	5244	1973136	2055913
70	50000	80025	1378	1057836	1139239	6820	2735784	2822629
75	50000	82518	1670	1440847	1525035	8838	3726329	3817685
80	50000	85010	2016	1962483	2049509	11423	5075386	5171819
85	50000	87503	2426	2667278	2757207	14732	6898132	7000367
90	50000	89995	2910	3649556	3742461	18970	9438507	9547472
95	50000	92488	3483	5000820	5096791	24398	12933154	13050040
100	50000	94980	4161	7149915	7249056	31347	18491158	18617485

总行数: 24
