表格名称: 基本计划 - 身故赔偿总额 - 不同投资回报下的说明摘要
================================================================================

保单年度终结	已缴总保费	保证金额	悲观情景_累积周年红利及累积利息	悲观情景_终期红利	悲观情景_总额	乐观情景_累积周年红利及累积利息	乐观情景_终期红利	乐观情景_总额
--------------------------------------------------------------------------------
1	10000	10000	0	0	10000	0	0	10000
2	20000	20760	0	0	20760	0	0	20760
3	30000	32280	3	0	32283	8	0	32288
4	40000	44560	6	0	44566	15	0	44575
5	50000	57600	9	0	57609	24	0	57624
6	50000	59500	13	0	59513	32	0	59532
7	50000	61400	16	0	61416	42	1145	62587
8	50000	63300	20	0	63320	51	3939	67290
9	50000	65200	23	0	65223	61	9061	74322
10	50000	67100	27	0	67127	72	11433	78605
15	50000	69000	56	3452	72508	156	35733	104889
20	50000	69000	90	19878	88968	263	73457	142720
25	50000	69000	139	40508	109647	420	122857	192277
30	50000	69000	197	66580	135777	620	186330	255950
55	50000	72548	745	404612	477905	3051	1046410	1122009
60	50000	75040	922	562226	638188	4013	1454031	1533084
65	50000	77533	1131	762946	841610	5244	1973136	2055913
70	50000	80025	1378	1057836	1139239	6820	2735784	2822629
75	50000	82518	1670	1440847	1525035	8838	3726329	3817685
80	50000	85010	2016	1962483	2049509	11423	5075386	5171819
85	50000	87503	2426	2667278	2757207	14732	6898132	7000367
90	50000	89995	2910	3649556	3742461	18970	9438507	9547472
95	50000	92488	3483	5000820	5096791	24398	12933154	13050040
100	50000	94980	4161	7149915	7249056	31347	18491158	18617485

总行数: 24
