表格名称: 基本计划－说明摘要－保单年度展示直至受保人年满100岁当日或紧接之后的保单周年日
================================================================================

保单年度终结	已缴总保费	现金价值总额_保证金额	现金价值总额_非保证金额_累积周年红利及累积利息	现金价值总额_非保证金额_终期红利	现金价值总额_总额	身故赔偿总额_保证金额	身故赔偿总额_非保证金额_累积周年红利及累积利息	身故赔偿总额_非保证金额_终期红利	身故赔偿总额_总额
--------------------------------------------------------------------------------
1	10000	0	0	0	0	10000	0	0	10000
2	20000	0	0	0	0	20760	0	0	20760
3	30000	20300	5	0	20305	32280	5	0	32285
4	40000	30100	10	0	30110	44560	10	0	44570
5	50000	40100	16	675	40791	57600	16	0	57616
6	50000	42350	21	7806	50177	59500	21	0	59521
7	50000	44350	27	12130	56507	61400	27	0	61427
8	50000	46900	33	13559	60492	63300	33	0	63333
9	50000	48350	40	17274	65664	65200	40	424	65664
10	50000	49100	46	19622	68768	67100	46	1622	68768
11	50000	49700	56	21971	71727	69000	56	2671	71727
12	50000	50300	66	24396	74762	69000	66	5696	74762
13	50000	50900	76	27300	78276	69000	76	9200	78276
14	50000	51500	87	31082	82669	69000	87	13582	82669
15	50000	52100	98	35089	87287	69000	98	18189	87287
16	50000	52700	110	39246	92056	69000	110	22946	92056
17	50000	53300	122	43630	97052	69000	122	27930	97052
18	50000	53900	135	48249	102284	69000	135	33149	102284
19	50000	54500	148	53115	107763	69000	148	38615	107763
20	50000	55100	162	58238	113500	69000	162	44338	113500
21	50000	55599	178	63844	119621	69000	178	50443	119621
22	50000	56097	196	69758	126051	69000	196	56855	126051
23	50000	56596	214	75996	132806	69000	214	63592	132806
24	50000	57094	233	82574	139901	69000	233	70668	139901
25	50000	57593	253	89509	147355	69000	253	78102	147355
26	50000	58091	274	96818	155183	69000	274	85909	155183
27	50000	58590	296	104519	163405	69000	296	94109	163405
28	50000	59088	318	112630	172036	69000	318	102718	172036
29	50000	59587	342	121171	181100	69000	342	111758	181100
30	50000	60085	366	130163	190614	69000	366	121248	190614
31	50000	60584	395	140341	201320	69000	395	131925	201320
32	50000	61082	424	151135	212641	69000	424	143217	212641
33	50000	61581	454	162579	224614	69000	454	155160	224614
34	50000	62079	486	174713	237278	69000	486	167792	237278
35	50000	62578	519	187575	250672	69000	519	181153	250672
36	50000	63076	554	201209	264839	69000	554	195285	264839
37	50000	63575	590	215659	279824	69000	590	210234	279824
38	50000	64073	627	230971	295671	69000	627	226044	295671
39	50000	64572	667	247196	312435	69000	667	242768	312435
40	50000	65070	707	264387	330164	69000	707	260457	330164
41	50000	65569	750	282402	348721	69000	750	278971	348721
42	50000	66067	794	301467	368328	69000	794	298534	368328
43	50000	66566	841	321639	389046	69000	841	319205	389046
44	50000	67064	889	342981	410934	69000	889	341045	410934
45	50000	67563	939	365557	434059	69000	939	364120	434059

总行数: 45
