表格名称: 基本计划－说明摘要－保单年度展示直至受保人年满100岁当日或紧接之后的保单周年日(续)
================================================================================

保单年度终结	已缴总保费	现金价值总额_保证金额	现金价值总额_非保证金额_累积周年红利及累积利息	现金价值总额_非保证金额_终期红利	现金价值总额_总额	身故赔偿总额_保证金额	身故赔偿总额_非保证金额_累积周年红利及累积利息	身故赔偿总额_非保证金额_终期红利	身故赔偿总额_总额
--------------------------------------------------------------------------------
92	50000	90992	8428	7118001	7217421	90992	8428	7118001	7217421
93	50000	91491	8799	7579482	7679772	91491	8799	7579482	7679772
94	50000	91989	9185	8079023	8180197	91989	9185	8079023	8180197
95	50000	92488	9588	8622103	8724179	92488	9588	8622103	8724179
96	50000	92986	10008	9215648	9318642	92986	10008	9215648	9318642
97	50000	93485	10446	9868615	9972546	93485	10446	9868615	9972546
98	50000	93983	10902	10592894	10697779	93983	10902	10592894	10697779
99	50000	94482	11378	11404773	11510633	94482	11378	11404773	11510633
100	50000	94980	11874	12327439	12434293	94980	11874	12327439	12434293
55	50000	72548	1576	697607	771731	72548	1576	697607	771731
60	50000	75040	2008	969354	1046402	75040	2008	969354	1046402
65	50000	77533	2541	1315424	1395498	77533	2541	1315424	1395498
70	50000	80025	3197	1823856	1907078	80025	3197	1823856	1907078
75	50000	82518	4005	2484219	2570742	82518	4005	2484219	2570742
80	50000	85010	4999	3383591	3473600	85010	4999	3383591	3473600
85	50000	87503	6224	4598755	4692482	87503	6224	4598755	4692482
90	50000	89995	7731	6292338	6390064	89995	7731	6292338	6390064
95	50000	92488	9588	8622103	8724179	92488	9588	8622103	8724179
100	50000	94980	11874	12327439	12434293	94980	11874	12327439	12434293

总行数: 19
